,eventsource,eventsourcecode,ID,eventtime,Event Time,event_unix_time,Magnitude,Update Time,Evaluation Status,Magnitude Type,Latitude,Longitude,Title
0,nc,73674211,nc73674211,2022-01-06T00:28:07.010Z,1/6/22 0:28,1641428887,4.75,54:14.2,final,mw,37.3338333,-117.9023333,"8km ESE of Deep Springs, CA"
0,nc,73674211,nc73674211,2022-01-06T00:28:07.010Z,1/6/22 0:28,1641428887,4.75,54:14.2,final,mw,37.3338333,-117.9023333,"8km ESE of Deep Springs, CA"
0,nn,833903,nn833903,2022-02-15T21:16:24.065Z,2/15/22 21:16,1644959784,4.7,40:57.8,reviewed,ml,38.1814,-117.7833,"36 km SE of Mina, Nevada"
0,nc,73674251,nc73674251,2022-01-06T02:42:10.830Z,1/6/22 2:42,1641436930,4.58,21:21.0,final,mw,40.3846667,-124.8643333,"50km W of Petrolia, CA"
0,ci,40063391,ci40063391,2022-07-15T01:19:07.000Z,7/15/22 1:19,1657847947,4.58,56:23.8,final,mw,35.7091667,-117.5843333,"13km NE of Ridgecrest, CA"
0,nc,73765585,nc73765585,2022-08-08T20:44:14.110Z,8/8/22 20:44,1659991454,4.45,17:33.2,final,mw,38.5816667,-119.446,"8km NNE of Walker, CA"
0,us,7000i3dm,us7000i3dm,2022-08-29T15:22:29.115Z,8/29/22 15:22,1661786549,4.4,02:53.0,confirmed,mwr,40.4083,-126.8122,"216 km W of Ferndale, California"
0,us,6000ibfj,us6000ibfj,2022-08-16T21:03:23.030Z,8/16/22 21:03,1660683803,4.4,26:32.0,reviewed,mb,41.8905,-126.7853,"202 km WSW of Pistol River, Oregon"
0,nc,73781306,nc73781306,2022-09-14T01:39:38.730Z,9/14/22 1:39,1663119578,4.39,33:08.1,final,mw,38.475,-122.7071667,"3km N of Santa Rosa, CA"
0,us,6000iakl,us6000iakl,2022-08-13T18:45:28.484Z,8/13/22 18:45,1660416328,4.3,25:43.0,reviewed,mb,42.0252,-126.7645,"197 km W of Pistol River, Oregon"
0,us,6000i9du,us6000i9du,2022-08-09T14:40:47.726Z,8/9/22 14:40,1660056047,4.3,19:46.0,reviewed,mb,41.8774,-126.7256,"197 km WSW of Pistol River, Oregon"
0,nn,832186,nn832186,2022-01-22T22:40:11.845Z,1/22/22 22:40,1642891211,4.3,37:47.9,reviewed,mw,38.2571,-118.3528,"25 km SW of Mina, Nevada"
0,nc,71129069,nc71129069,2022-09-14T01:40:20.420Z,9/14/22 1:40,1663119620,4.29,34:08.4,final,ml,38.4813333,-122.7036667,"4km N of Santa Rosa, CA"
0,ci,40027143,ci40027143,2022-05-26T09:23:32.530Z,5/26/22 9:23,1653557012,4.28,01:24.4,final,mw,35.6026667,-117.406,"18km S of Trona, CA"
0,nc,73761796,nc73761796,2022-07-23T01:41:04.680Z,7/23/22 1:41,1658540464,4.24,39:28.7,final,mw,39.4656667,-121.4761667,"5km S of Oroville East, CA"
0,us,7000h21e,us7000h21e,2022-04-14T01:21:15.822Z,4/14/22 1:21,1649899275,4.2,08:10.0,reviewed,mb,43.1739,-126.0453,"132 km WNW of Langlois, Oregon"
0,nn,831033,nn831033,2022-01-05T07:21:14.365Z,1/5/22 7:21,1641367274,4.2,32:01.3,reviewed,mw,38.1677,-117.8238,"35 km SE of Mina, Nevada"
0,nc,73752031,nc73752031,2022-06-28T11:57:40.710Z,6/28/22 11:57,1656417460,4.19,14:58.5,final,mw,38.8301667,-122.7471667,"2km WNW of Cobb, CA"
0,nc,73740051,nc73740051,2022-06-02T12:07:22.230Z,6/2/22 12:07,1654171642,4.14,59:41.0,final,mw,38.0765,-122.0076667,"7km NW of Bay Point, CA"
0,nc,73705146,nc73705146,2022-03-13T20:51:32.260Z,3/13/22 20:51,1647204692,4.12,43:54.6,final,mw,36.5846667,-121.1883333,"7km NW of Pinnacles, CA"
0,nc,73714181,nc73714181,2022-04-04T15:16:46.240Z,4/4/22 15:16,1649085406,4.07,58:06.3,final,mw,40.4871667,-124.2101667,"9km W of Rio Dell, CA"
0,us,7000ht45,us7000ht45,2022-07-24T09:22:07.411Z,7/24/22 9:22,1658654527,4,09:47.0,reviewed,mb,43.4175,-128.7136,off the coast of Oregon
0,us,7000h72v,us7000h72v,2022-05-04T18:28:18.229Z,5/4/22 18:28,1651688898,4,39:59.0,reviewed,mb,40.4952,-127.1936,"248 km W of Ferndale, California"
0,us,7000ghpx,us7000ghpx,2022-02-03T19:25:56.611Z,2/3/22 19:25,1643916356,4,57:16.0,reviewed,mb,44.2078,-128.6507,off the coast of Oregon
0,us,6000iac9,us6000iac9,2022-08-12T20:00:04.319Z,8/12/22 20:00,1660334404,4,21:08.0,reviewed,mb,44.4831,-125.9475,"148 km W of Yachats, Oregon"
0,nc,73774300,nc73774300,2022-09-01T13:36:22.150Z,9/1/22 13:36,1662039382,4,17:49.7,final,mw,36.549,-121.0965,"5km ENE of Pinnacles, CA"
0,ci,39928087,ci39928087,2022-01-30T17:46:26.970Z,1/30/22 17:46,1643564786,4,21:59.6,final,mw,33.3355,-116.9146667,"5km WSW of Palomar Observatory, CA"
0,nc,73707021,nc73707021,2022-03-18T04:51:22.290Z,3/18/22 4:51,1647579082,3.99,07:16.6,final,mw,38.521,-119.5405,"5km W of Walker, CA"
0,ci,40194736,ci40194736,2022-02-27T01:44:18.300Z,2/27/22 1:44,1645926258,3.98,46:07.8,final,mw,34.4211667,-119.132,"10km NW of Santa Paula, CA"
0,nc,73712486,nc73712486,2022-03-31T02:05:26.760Z,3/31/22 2:05,1648692326,3.93,53:30.5,final,mw,37.4093333,-118.6031667,"1km SW of Round Valley, CA"
0,nc,73691661,nc73691661,2022-02-12T00:26:19.710Z,2/12/22 0:26,1644625579,3.93,30:20.9,final,mw,40.3718333,-125.442,"98km W of Petrolia, CA"
0,ci,39901519,ci39901519,2022-01-03T02:34:48.200Z,1/3/22 2:34,1641177288,3.92,28:32.1,final,ml,35.284,-119.3906667,"15km SSE of Buttonwillow, CA"
0,us,7000h3bv,us7000h3bv,2022-04-19T12:43:57.057Z,4/19/22 12:43,1650372237,3.9,19:42.0,reviewed,mb,43.3295,-126.7468,"191 km W of Bandon, Oregon"
0,nn,846122,nn846122,2022-08-30T18:31:27.831Z,8/30/22 18:31,1661884287,3.9,58:05.2,reviewed,ml,38.1502,-117.8993,"32 km SE of Mina, Nevada"
0,nn,842016,nn842016,2022-06-30T17:48:11.909Z,6/30/22 17:48,1656611291,3.9,40:44.0,reviewed,ml,38.2083,-117.7791,"35 km SE of Mina, Nevada"
0,nn,841009,nn841009,2022-06-16T16:55:23.108Z,6/16/22 16:55,1655398523,3.9,39:49.8,reviewed,mw,38.1723,-117.8226,"34 km SE of Mina, Nevada"
0,nn,832788,nn832788,2022-01-30T07:16:42.456Z,1/30/22 7:16,1643527002,3.9,38:52.1,reviewed,ml,38.142,-118.0052,"29 km SSE of Mina, Nevada"
0,nc,73763275,nc73763275,2022-08-02T21:44:06.980Z,8/2/22 21:44,1659476646,3.9,06:36.0,final,mw,40.3136667,-124.5783333,"25km W of Petrolia, CA"
0,ci,40182560,ci40182560,2022-02-11T00:25:02.020Z,2/11/22 0:25,1644539102,3.86,34:48.8,final,mw,34.4171667,-119.1323333,"10km NW of Santa Paula, CA"
0,ci,39910255,ci39910255,2022-01-13T03:19:08.700Z,1/13/22 3:19,1642043948,3.86,09:25.5,final,mw,33.4688333,-116.443,"23km ESE of Anza, CA"
0,nc,73714176,nc73714176,2022-04-04T15:18:31.590Z,4/4/22 15:18,1649085511,3.8,21:10.5,final,mw,40.4816667,-124.2186667,"10km WSW of Rio Dell, CA"
0,ci,40065255,ci40065255,2022-07-17T15:44:26.540Z,7/17/22 15:44,1658072666,3.8,43:56.7,final,mw,35.5126667,-118.3865,"13km SE of Bodfish, CA"
0,nc,73743421,nc73743421,2022-06-09T22:26:59.100Z,6/9/22 22:26,1654813619,3.79,22:05.9,final,mw,40.2915,-124.5188333,"20km W of Petrolia, CA"
0,nc,73700486,nc73700486,2022-03-03T11:39:58.200Z,3/3/22 11:39,1646307598,3.78,03:15.7,final,mw,38.7805,-122.7581667,"0km NNW of The Geysers, CA"
0,ci,40019919,ci40019919,2022-05-16T06:16:50.290Z,5/16/22 6:16,1652681810,3.76,44:36.6,final,mw,34.0078333,-116.4448333,"7km NE of Desert Hot Springs, CA"
0,uw,61869652,uw61869652,2022-09-08T08:08:25.830Z,9/8/22 8:08,1662624505,3.71,07:00.9,final,ml,47.842,-122.7516667,"7 km WNW of Lofall, Washington"
0,us,7000h0h7,us7000h0h7,2022-04-07T17:45:16.716Z,4/7/22 17:45,1649353516,3.7,21:13.0,reviewed,mb,44.1223,-128.856,off the coast of Oregon
